Date,"ID Number",Username,"Employee Name","Time In","Time Out"
"June 23, 2018",1234567890,howell,"Howell Manongsong","08:11:21 PM",
"June 24, 2018",1234567890,howell,"Howell Manongsong","03:34:02 AM",
"June 23, 2018",1234567890,howell,"Howell Manongsong","03:53:53 PM","03:35:59 AM"
"June 23, 2018",1231231231,patricia,"Patricia Naguit","03:20:12 PM","03:53:46 PM"
"June 23, 2018",1234567890,howell,"Howell Manongsong","02:29:16 PM","03:19:53 PM"
"June 23, 2018",1234567890,howell,"Howell Manongsong","01:26:27 PM","02:29:10 PM"
"June 23, 2018",1234567890,howell,"Howell Manongsong","01:04:48 PM","01:26:22 PM"
"June 23, 2018",1234567890,howell,"Howell Manongsong","12:32:09 PM","01:04:42 PM"
"June 23, 2018",1234567890,howell,"Howell Manongsong","12:32:02 PM","12:32:03 PM"
"June 22, 2018",1234567890,howell,"Howell Manongsong","10:47:07 PM","11:14:59 PM"
"June 22, 2018",1231231231,patricia,"Patricia Naguit","09:56:17 PM","10:46:59 PM"
"June 22, 2018",1234567890,howell,"Howell Manongsong","09:32:33 PM","09:56:12 PM"
"June 22, 2018",1231231231,patricia,"Patricia Naguit","09:32:02 PM","09:32:28 PM"
"June 22, 2018",1234567890,howell,"Howell Manongsong","09:25:29 PM","09:31:56 PM"
"June 22, 2018",1234567890,howell,"Howell Manongsong","09:23:12 PM","09:25:16 PM"
